﻿Wskaźnik;Jednostka;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997
gospodarstwa 1-osobowe;zł;.;0,19;0,2;0,21;0,21;0,21;0,22;0,22;0,24;0,23;0,22;0,24;0,23;0,25;0,27;.;0,33;0,38;0,4;0,43;.;0,52;0,57;0,6;0,77;1,15;1,67;1,75;2,14;2,57;3,22;5,87;22,73;121,61;205,3;311,69;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,13;0,15;0,15;0,16;0,17;0,17;0,17;0,18;0,16;0,18;0,19;0,2;0,2;0,22;.;0,26;0,28;0,3;0,32;.;0,4;0,44;0,5;0,6;0,91;1,36;1,45;1,7;2,03;2,51;4,48;17,86;92,74;170,16;245,57;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,1;0,11;0,12;0,13;0,14;0,14;0,14;0,15;0,14;0,15;0,16;0,16;0,17;0,18;.;0,22;0,25;0,26;0,28;.;0,34;0,38;0,41;0,49;0,76;1,1;1,19;1,4;1,69;2,03;3,66;14,6;74,96;131,92;199,03;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,08;0,09;0,1;0,1;0,1;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,14;0,15;.;0,18;0,2;0,22;0,24;.;0,28;0,3;0,33;0,41;0,65;0,94;0,98;1,16;1,38;1,67;2,99;12,19;59,85;105,69;152,68;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,07;0,07;0,09;0,09;0,09;0,09;0,1;0,1;0,1;0,1;0,11;0,11;0,12;0,12;.;0,15;0,17;0,18;0,2;.;0,23;0,25;0,27;0,33;0,58;0,81;0,85;0,99;1,16;1,43;2,56;10,27;50,74;85,22;125,64;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,06;0,07;0,07;0,07;0,08;0,07;0,07;0,09;0,09;0,08;0,09;0,09;0,09;0,13;.;0,13;0,15;0,16;0,18;.;0,21;0,21;0,23;0,28;0,51;0,7;0,73;0,88;1,02;1,37;2,31;9,04;46,65;79,78;105,7;.;.;.;.;.
z pracy;zł;0,08;0,08;0,09;0,09;0,1;0,11;0,1;0,11;0,11;0,12;0,13;0,13;0,14;0,14;0,15;.;0,17;0,2;0,21;0,23;.;0,27;0,3;0,33;0,4;0,58;0,74;0,9;1,07;1,3;1,59;2,84;11,32;57,12;96,84;145,27;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,17;0,19;0,2;0,2;0,19;0,2;0,2;0,21;0,22;0,21;0,22;0,22;0,23;0,26;.;0,31;0,36;0,38;0,4;.;0,48;0,53;0,56;0,73;1,08;1,38;1,67;2,03;2,47;3,04;5,61;21,84;116,38;196,09;302,87;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,12;0,14;0,13;0,14;0,16;0,15;0,15;0,16;0,14;0,16;0,17;0,17;0,17;0,19;.;0,22;0,24;0,25;0,27;.;0,34;0,37;0,42;0,51;0,73;0,97;1,21;1,43;1,69;2,07;3,78;14,87;77,48;136,49;199,09;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,09;0,1;0,1;0,12;0,13;0,12;0,12;0,13;0,13;0,14;0,14;0,15;0,16;0,17;.;0,2;0,22;0,24;0,25;.;0,3;0,34;0,36;0,43;0,62;0,82;1,01;1,18;1,46;1,77;3,19;12,52;64;110,42;169,75;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,07;0,08;0,09;0,09;0,09;0,09;0,1;0,1;0,11;0,11;0,12;0,12;0,12;0,14;.;0,16;0,18;0,2;0,21;.;0,25;0,27;0,3;0,36;0,52;0,68;0,81;0,97;1,19;1,45;2,57;10,25;51,31;88,45;129,5;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,06;0,06;0,07;0,07;0,08;0,07;0,08;0,08;0,08;0,09;0,09;0,1;0,1;0,11;.;0,13;0,15;0,15;0,17;.;0,2;0,21;0,23;0,29;0,43;0,52;0,65;0,79;0,92;1,15;1,99;7,94;40,18;66,84;100,97;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,05;0,06;0,05;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,07;0,07;0,11;.;0,1;0,12;0,13;0,14;.;0,17;0,17;0,19;0,23;0,34;0,42;0,52;0,63;0,75;1,03;1,63;6,75;34,14;54,6;77,49;.;.;.;.;.
ze świadczeń społecznych;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,03;0,03;0,04;0,04;0,12;0,14;0,15;0,17;0,19;0,23;0,4;1,69;8,33;17,32;23,7;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0;0,01;0;.;0,01;0,01;0,01;0,02;.;0,02;0,03;0,03;0,02;0,05;0,04;0,05;0,07;0,07;0,09;0,14;0,48;3,09;5,53;6,62;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,02;.;0,02;0,03;0,04;0,04;.;0,05;0,06;0,07;0,08;0,15;0,17;0,2;0,23;0,29;0,36;0,61;2,44;13,15;29,71;42,23;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,02;.;0,03;0,03;0,04;0,04;0,13;0,13;0,15;0,17;0,19;0,22;0,37;1,64;8,66;17,93;23,3;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,02;.;0,02;0,03;0,03;0,03;0,11;0,13;0,13;0,15;0,15;0,18;0,33;1,48;6,68;13,71;19,56;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,02;.;0,03;0,03;0,03;0,04;0,12;0,14;0,16;0,17;0,19;0,23;0,45;1,79;8,11;15,59;21,33;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;.;0,02;0,02;0,02;0,03;.;0,03;0,03;0,03;0,04;0,15;0,17;0,18;0,21;0,21;0,28;0,51;1,83;9,12;21,52;25,22;.;.;.;.;.
pozostałe;zł;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0,01;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,03;0,03;0,04;0,04;0,05;0,1;0,48;2,19;3,49;4,24;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;.;0,02;0,01;0,01;0,01;0,02;0,26;0,03;0,03;0,03;0,09;0,12;0,41;2,14;3,68;2,2;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,01;0,02;0,23;0,04;0,04;0,05;0,07;0,09;0,55;2,11;3,96;4,24;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,15;0,03;0,05;0,04;0,04;0,1;0,44;2,3;3,56;5,99;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0,01;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,13;0,03;0,04;0,04;0,04;0,09;0,46;1,87;3,53;3,61;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0;0;0;0,01;0;0;0,01;0,01;0;0;0;0;0;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,03;0,15;0,03;0,04;0,04;0,06;0,13;0,54;2,45;2,79;3,34;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0;0;0,01;0;0,01;0;0,01;0;0;0;0;0;0,01;0;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,03;0,11;0,03;0,04;0,06;0,06;0,16;0,47;3,38;3,66;2,99;.;.;.;.;.
Przeciętne miesięczne dochody na 1 osobę w gospodarstwie domowym pracowników użytkujących gospodarstwo rolne;zł;.;.;.;.;.;.;.;.;.;.;1,02;.;.;.;.;.;0,13;0,15;0,17;0,19;.;0,22;0,25;0,27;0,37;0,65;0,82;0,99;1,14;1,38;1,69;3,2;12,45;59,63;93,02;129,36;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;1,93;.;.;.;.;.;0,23;0,26;0,28;0,31;.;0,38;0,43;0,44;0,63;—;1,3;1,61;1,9;2,19;2,71;4,9;18,8;95,88;156,16;230,92;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;1,59;.;.;.;.;.;0,18;0,21;0,23;0,25;.;0,29;0,34;0,38;0,49;0,85;1,1;1,24;1,46;1,79;2,29;4,1;15,84;77,8;124,25;185,64;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;1,25;.;.;.;.;.;0,15;0,17;0,19;0,2;.;0,25;0,28;0,3;0,4;0,66;0,88;1,12;1,26;1,57;1,84;3,49;13,52;64,86;105,56;142,15;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;1,01;.;.;.;.;.;0,13;0,15;0,16;0,18;.;0,22;0,23;0,24;0,35;0,6;0,78;0,92;1,05;1,3;1,61;3,01;11,79;57,68;87,53;128,87;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;0,76;.;.;.;.;.;0,11;0,12;0,13;0,15;.;0,18;0,21;0,22;0,3;0,55;0,67;0,8;0,96;1,1;1,36;2,63;10,24;48,1;77,31;105,73;.;.;.;.;.
z pracy poza gospodarstwem rolnym;zł;.;.;.;.;.;.;.;.;.;.;0,68;.;.;.;.;.;0,07;0,08;0,09;0,1;.;0,12;0,14;0,15;0,2;0,28;0,39;0,48;0,54;0,67;0,82;1,49;5,73;26,33;41,18;56,87;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;1,55;.;.;.;.;.;0,12;0,15;0,17;0,18;.;0,23;0,26;0,3;0,39;—;0,7;0,96;1,02;1,16;1,43;2,54;10,07;47,5;82,65;120,58;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;1,15;.;.;.;.;.;0,1;0,12;0,13;0,15;.;0,16;0,19;0,22;0,29;0,4;0,53;0,63;0,71;0,86;1,09;1,96;7,6;36,53;58,29;76,26;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,89;.;.;.;.;.;0,08;0,1;0,11;0,12;.;0,15;0,16;0,18;0,23;0,33;0,44;0,54;0,63;0,79;0,93;1,73;6,63;31,07;50,62;71,64;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,66;.;.;.;.;.;0,07;0,08;0,09;0,1;.;0,11;0,13;0,14;0,18;0,25;0,36;0,45;0,49;0,61;0,79;1,41;5,37;24,67;38,16;55,49;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;0,44;.;.;.;.;.;0,05;0,06;0,07;0,07;.;0,09;0,1;0,11;0,14;0,2;0,3;0,35;0,43;0,51;0,61;1,11;4,23;19,19;30,81;43,52;.;.;.;.;.
z indywidualnego gospodarstwa rolnego;zł;.;.;.;.;.;.;.;.;.;.;0,24;.;.;.;.;.;0,05;0,06;0,06;0,07;.;0,09;0,1;0,1;0,14;0,29;0,33;0,4;0,48;0,56;0,68;1,34;5,11;24,45;32,81;44,54;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,25;.;.;.;.;.;0,09;0,09;0,08;0,09;.;0,12;0,15;0,11;0,19;—;0,48;0,52;0,73;0,84;1,03;1,89;6,84;35,79;49,28;68,17;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,35;.;.;.;.;.;0,06;0,07;0,08;0,08;.;0,11;0,13;0,14;0,17;0,36;0,45;0,49;0,6;0,74;0,96;1,72;6,63;31,58;40,93;64,51;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,28;.;.;.;.;.;0,06;0,06;0,07;0,07;.;0,09;0,1;0,1;0,15;0,27;0,35;0,47;0,53;0,62;0,7;1,45;5,42;25,89;38,2;48,25;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,25;.;.;.;.;.;0,05;0,06;0,06;0,06;.;0,09;0,09;0,09;0,15;0,29;0,33;0,37;0,45;0,56;0,65;1,27;4,87;24,05;30,75;49,59;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;0,2;.;.;.;.;.;0,04;0,05;0,05;0,06;.;0,07;0,09;0,09;0,13;0,27;0,28;0,32;0,42;0,45;0,56;1,11;4,3;20,35;28,01;34,43;.;.;.;.;.
ze świadczeń społecznych;zł;.;.;.;.;.;.;.;.;.;.;0,08;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,02;0,07;0,09;0,1;0,11;0,14;0,18;0,35;1,53;8,36;18,14;26,19;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,04;.;.;.;.;.;0,01;0,01;0,02;0,02;.;0,02;0,02;0,03;0,04;—;0,1;0,13;0,14;0,18;0,24;0,44;1,85;11,63;24,01;42,05;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,06;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,03;0,08;0,11;0,12;0,15;0,18;0,24;0,39;1,56;9,39;23,92;32,96;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,06;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,02;0,06;0,08;0,1;0,1;0,13;0,17;0,3;1,37;7,15;15,77;21,74;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,09;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,02;0,06;0,08;0,1;0,1;0,13;0,16;0,31;1,45;8,44;17,12;22,97;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;0,09;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,02;0,02;0,02;0,08;0,09;0,1;0,12;0,14;0,18;0,38;1,63;8,21;17,99;27,33;.;.;.;.;.
pozostałe;zł;.;.;.;.;.;.;.;.;.;.;0,02;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0;0;0,01;0;0,01;0,01;0,02;0,08;0,49;0,89;1,76;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,08;.;.;.;.;.;0,01;0,01;0;0,01;.;0,01;0,01;0;0,01;—;0,01;0,01;0,01;0,01;0,01;0,02;0,04;0,97;0,21;0,12;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,03;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0,01;0,01;0;0;0;0,01;0,02;0,04;0,29;1,11;11,91;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,02;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0;0,01;0,01;0,01;0,02;0,03;0,02;0,1;0,75;0,97;0,52;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;0,02;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0;0;0;0;0;0,01;0,02;0,1;0,53;1,49;0,82;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;0,02;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0;0;0,03;0;0;0,01;0,03;0,08;0,36;0,5;0,45;.;.;.;.;.
Przeciętne miesięczne dochody na 1 osobę w gospodarstwie domowym rolników;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,16;0,17;0,2;.;0,25;0,28;0,3;0,43;0,69;0,87;1,01;1,2;1,47;1,8;3,48;13,44;57,73;82,39;117,33;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,19;0,19;0,18;0,21;.;0,32;0,3;0,35;0,51;0,9;1,27;1,38;1,46;2,18;2,5;4,99;17,64;89,48;126,08;188,75;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,18;0,2;0,21;0,23;.;0,31;0,34;0,38;0,5;0,87;1,14;1,31;1,62;1,9;2,25;4,36;16,41;75,14;109,15;156,53;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,17;0,18;0,2;0,23;.;0,31;0,34;0,36;0,5;0,78;1;1,14;1,37;1,7;2,1;3,98;15,72;68,04;96,32;146,88;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,16;0,16;0,18;0,21;.;0,24;0,28;0,3;0,48;0,7;0,87;1,08;1,23;1,51;1,9;3,68;13,82;60,37;89;119,33;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,15;0,16;0,17;.;0,24;0,26;0,28;0,38;0,61;0,77;0,84;1,08;1,27;1,63;3,23;12,14;48,94;73,53;113,32;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,11;0,12;0,14;0,15;.;0,19;0,22;0,23;0,36;0,57;0,7;0,85;0,96;1,16;1,38;2,71;10,82;44,83;63,07;89,85;.;.;.;.;.
z indywidualnego gospodarstwa rolnego;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,14;0,15;0,17;.;0,22;0,25;0,26;0,39;0,6;0,79;0,91;1,08;1,31;1,59;3,11;12,05;49,08;64,25;90,6;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,15;0,13;0,16;.;0,25;0,22;0,24;0,37;0,64;1,14;1,25;1,33;1,91;2,15;4,42;15,37;76,39;102,81;150,38;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,17;0,17;0,19;.;0,26;0,28;0,31;0,4;0,7;1,01;1,15;1,43;1,66;1,93;3,76;14,02;62,81;82,61;112,75;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,16;0,18;0,2;.;0,28;0,31;0,33;0,45;0,67;0,9;1,01;1,22;1,5;1,84;3,55;14,04;55,74;71;109,04;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,15;0,16;0,19;.;0,23;0,25;0,28;0,45;0,63;0,81;1;1,12;1,36;1,71;3,35;12,82;53,25;74,35;98,88;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,12;0,13;0,15;0,16;.;0,22;0,24;0,25;0,35;0,55;0,7;0,75;0,99;1,15;1,47;2,98;11,18;43,27;59,41;94,08;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,1;0,11;0,13;0,14;.;0,18;0,21;0,2;0,34;0,52;0,64;0,78;0,86;1,03;1,2;2,4;9,63;37,38;47,62;64,46;.;.;.;.;.
z pracy poza gospodarstwem rolnym;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,03;0,05;0,17;0,95;1,99;2,88;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,02;0,02;0,02;0,01;0,02;0,02;0,02;0,03;0,06;0,13;1,81;2,9;7,33;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,02;0,03;0,01;0,01;0,01;0,02;0,03;0,06;0,23;0,95;1,8;2,24;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,02;0,01;0,02;0,03;0,01;0,01;0,02;0,03;0,04;0,05;0,16;1,08;2,3;2,97;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,02;0,02;0,03;0,07;0,26;1,31;2,53;3,02;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,01;0,02;0,03;0,01;0,02;0,02;0,02;0,03;0,05;0,13;0,6;2,1;1,69;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0,01;0,01;0,01;.;0,01;0,01;0,01;0,01;0,02;0;0,01;0,01;0,01;0,02;0,04;0,11;0,78;1,44;3,72;.;.;.;.;.
ze świadczeń społecznych;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,01;0,01;0,02;0,02;0,06;0,06;0,08;0,09;0,13;0,17;0,29;1,1;6,79;15,02;22,77;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,03;0,02;0,03;0,04;.;0,06;0,06;0,09;0,11;0,23;0,11;0,11;0,11;0,23;0,3;0,48;2,09;10,13;20,02;30,87;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,02;0,02;0,02;0,03;.;0,04;0,04;0,05;0,07;0,14;0,11;0,15;0,18;0,21;0,27;0,51;2;10,96;24,31;37,48;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0,02;0,02;0,02;0,03;0,08;0,08;0,11;0,12;0,16;0,21;0,37;1,4;10,02;22,24;32,33;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0,01;.;0;0,01;0,01;0,01;0,04;0,04;0,06;0,07;0,09;0,13;0,2;0,7;4,23;10,74;17,18;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;.;0,01;0,01;0,01;0,01;0,03;0,04;0,06;0,06;0,09;0,11;0,18;0,71;4,5;10,21;16,7;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;.;0;0;0,01;0,01;0,03;0,05;0,06;0,08;0,11;0,14;0,25;0,91;5,94;12,98;21,52;.;.;.;.;.
pozostałe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0;0,01;0,01;0,01;0,01;0,02;0,03;0,13;0,91;1,13;1,07;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0,01;0,01;0,01;.;0;0;0;0,01;0,01;0,01;0;0;0,02;0,02;0,03;0,05;1,14;0,36;0,16;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,01;0;0,01;0,01;.;0;0;0;0,01;0;0,01;0;0;0,01;0,01;0,04;0,17;0,41;0,43;4,05;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0;0;0,01;0,01;0,01;0,02;0,02;0,12;1,19;0,79;2,54;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;.;0;0;0,01;0;0,01;0,01;0,01;0,03;0,04;0,02;0,05;0,04;1,58;1,37;0,24;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;.;0;0;0;0,01;0;0,02;0,02;0,01;0,01;0,01;0,03;0,12;0,57;1,81;0,86;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0;0;0;0;.;0;0;0;0;0;0,01;0;0,01;0,01;0,02;0,02;0,17;0,73;1,02;0,15;.;.;.;.;.
Przeciętne miesięczne dochody na 1 osobę w gospodarstwie domowym emerytów i rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,11;.;0,13;0,14;0,16;0,17;.;0,22;0,25;0,27;0,33;0,56;0,64;0,81;0,93;1,17;1,54;2,52;8,45;49,34;94,59;126,58;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;.;0,14;0,16;0,17;0,18;.;0,24;0,28;0,29;0,36;0,61;0,69;0,84;1,01;1,23;1,66;2,74;9,4;54,51;104,59;147,67;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,11;.;0,13;0,14;0,15;0,17;.;0,22;0,24;0,27;0,33;0,57;0,66;0,86;0,98;1,22;1,63;2,64;8,68;52,04;103,32;148,85;.;.;.;.;.
gospodarstwa 3-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,08;.;0,11;0,13;0,14;0,15;.;0,19;0,22;0,25;0,29;0,5;0,57;0,7;0,8;1;1,3;2,13;7,2;40,24;77,24;94,67;.;.;.;.;.
